FID,ZID,REC_NO,REC_TYPE,DEP_NUM,REP_DATE,INFO_SRC,FIL_LINK,REP,REP_AFF,SYN,DIST,COUNTY,STATE,COUNTRY,PHYS,DRAIN,LAND_ST,QUAD1,Q1_SCALE,QUAD2,Q2_SCALE,ELEV,UTM_N,UTM_E,UTM_Z,ACC,TOWNSHIP,RANGE,SECTION,SECT_FRACT,MERIDIAN,POSITION,LOCATION,SITE_NAME,LAT,LONG,COMMOD,ORE_MAT,COM_SUB,GEN_ANAL,COM_INFO,MAJOR,MINOR,POTEN,OCCUR,NP_MAIN,NP_MINOR,PROD,LOCAL_STRU,STATUS,DISC,YR_DISC,NAT_DISC,YR_1ST_PRO,YR_LAST_PR,OWNER,OPER,EXPL_COM,DEP_TYPE,DEP_FORM,DEPTH_TOP,DEP_T_U,DEPTH_BOT,DEP_B_U,MAX_LEN,M_L_U,MAX_WID,M_W_U,MAX_THICK,M_T_U,DEP_SIZE,STRIKE,DIP,PLUNGE_DIR,PLUNGE,DEP_DESC_C,DEPTH_WK,D_WK_U,LEN_WK,L_WK_U,OV_LEN_WK,O_L_U,OV_WID_WK,O_W_U,OV_AREA_WK,O_A_U,DESC_WORK_,HR_AGE,HR_TYPE,IG_AGE,IG_TYPE,MIN_AGE,NON_ORE_MI,ORE_CNTL,TECT_SET,REG_STRUCT,ALTER_,CONC,FORM_AGE,FORM_NAME,FORM2_AGE,FORM2_NAME,IG_UNIT_AG,IG_UNIT_NA,IG2_UNIT_A,IG2_UNIT_N,GEOL_COM,GEN_COM,RF1,RF2,RF3,RF4,DESC_WORK,AP_ITEM,AP_ACC,AP_AMT,AP_U,AP_YEAR,AP_GRADE,CP_ITEM,CP_ACC,CP_AMT,CP_U,CP_YEAR,CP_GRADE,P_SOURCE,P_COM,RPR_ITEM,RPR_ACC,RPR_AMT,RPR_U,RPR_YEAR,RPR_GRADE,RPR_SOURCE,RPR_COM,R_ITEM,R_ACC,R_AMT,R_U,R_YEAR,R_GRADE,R_SOURCE,R_COM,PR_ITEM,PR_ACC,PR_AMT,PR_U,PR_YEAR,PR_GRADE,PR_SOURCE,PR_COM,REF
536,3945,DB00866,X1M,17-MT ELLSWORTH-4,78 07, ,BLM,DOELLING; HELLMUT H.,BLM, ,HENRY MTNS/SOUTH/SHOOTARING,GARFIELD,UT,US,11 HENRY MTNS. BASIN,14 BELOW GREEN RIVER ABOVE LEES FERRY,49,MT. ELLSWORTH,62500,ESCALANTE,250000,4960 FT,4175480,527430,12, ,035S,011E,34, ,SALT LAKE,ON CLIFF NORTH OF LOST SPRING,NE 1/4 NW 1/4 SECTION 34 T 35 S; R 11 E,YELLOW PAINT,37-43-41N,110-41-19W,U V,CARNOTITE; TYUYAMUNITE, , , , , , , , , ,M, ,4, , ,B, , ,CLIMAX URANIUM CO.,CLIMAX URANIUM CO., ,REPLACEMENT,LENSES; BUTTONS; PODS, ,FT,75,FT, , , , ,2,FT,MEDIUM,NORTH,3 DEG W, , ,NEAR BASE OF SALT WASH, , ,500,FT, , , , , , ,SEVERAL ADITS AND DRIFTS,JUR,SANDSTONE; MUDSTONE, , , ,LIMONITE; CARBON TRASH,CARBON TRASH,ROCKY MTN. UNSTABLE FORELAND, , ,GROUND WATER SOLUTIONS,JUR,SALT WASH MEMBER/MORRISON FM., , , , , , , , ,HUNT; C. B.; 1953 ; GEOLOGY & GEOGRAPHY OF THE HENRY MOUNTAINS; UTAH: USGS PROF. PAPER 228 .,DOELLING; HELLMUT H.; 1967 ; URANIUM DEPOSITS OF GARFIELD CO.; UTAH: UTAH GEOLOGICAL AND MINERALOGICAL SURVEY SPECIAL STUDIES 22 .,DOELLING; HELLMUT H.; 1975 ; GEOLOGY AND MINERAL RESOURCES OF GARFIELD CO.; UTAH: UTAH GEOLOGICAL AND MINERALOGICAL SURVEY; BULLETIN 107 ., , ,U ýV ýU ýV ýU ýV ý0.28100,ACCýACCýACCýACCýACCýACCý,0.02800ý 0.08500ý 0.24900ý 0.83800ý 0.28000ý 0.53800,LB ýLB ýLB ýLB ýLB ýLB ýLB,1968ý1968ý1967ý1967ý1966ý1966ý1965,U3O8 ýV2O5 ýU3O8 ýV2O5 ýU3O8 ýV2O5 ýU3O8 ALSO 558 LB V2O5,U ýV,ESTýMED,8.50000,LB,THROUGH 1973ýTHROUGH 1973,U3O8 ýV2O5,USBM-MAS 114, , , , , , , , , ,U ýU ýU ýV ýV ýV,MEAýINDýINFýMEAýIND,0.05000ý 0.20000ý 2.00000ý 0.05000ý 0.20000ý 2.,ST ýST ýST ýST ýST,1973ý1973ý1973ý1973ý1973,0.2 % U3O8 ý0.2 % U3O8 ý0.2 % U3O8 ý1.8 % V2O5 ý1.8 % V2O5 ý1.8 % V2O5,USBM-MAS 114, , , , , , , , , ,0
537,3763,DB00585,X1M,17-BULL MOUNTAIN-1,78 06, ,BLM,DOELLING; HELLMUT H.,BLM, ,HENRY MTNS/EAST/CRESCENT CREEK,GARFIELD,UT,US,11 HENRY MTNS. BASIN,14 COLORADO RIVER BASIN BELOW THE GREEN AND SAN JUAN RIVERS AND ABOVE LEE FERRY,49,BULL MOUNTAIN,62500,ESCALANTE,250000,5120 FT,4203400,530378,12, ,032S,011E,12, ,SALT LAKE,NORTH WASH; 2 1/4 MILE EAST OF PYSERTS HOLE,UNSURVEYED,BLACK CAT,37-58-46N,110-39-15W,U V,CARNOTITE; TYUYAMUNITE, , , ,U V, , , , , ,S,EAST FLANK; EAST HENRY MOUNTAINS SYNCLINE,4, , ,B, , , ,20TH CENTURY POWER,A13 L. R. WEEKS; S.L.C.; UTAH,REPLACEMENT,LENTICULAR TO TABULAR, ,FT, , , , , , , , ,SMALL,N 12 DEG E,5 DEG NW, , , , , , , , , , , , , , ,JUR,SANDSTONE AND MUDSTONE, , , , ,CARBON TRASH IN SEDIMENTARY CHANNELS,STABLE PLATFORM,HENRY MOUNTAINS BASIN, ,GROUND WATER SOLUTIONS,JUR,SALT WASH MEMBER/MORRISON FORMATION, , , , , , , , ,HUNT; C. B.; AND OTHERS; 1953 ; GEOLOGY AND GEOGRAPHY OF THE HENRY MOUNTAINS REGION; UTAH: US GEOL. SURVEY PROF. PAPER 228 .,DOELLING; H. H.; 1967 ; URANIUM DEPOSITS OF GARFIELD COUNTY; UTAH: UTAH GEOL. AND MINERAL SURVEY SPECIAL STUDIES 22 .,DOELLING; H. H.; 1975 ; GEOLOGY AND MINERAL RESOURCES OF GARFIELD COUNTY; UTAH: UTAH GEOL. AND MINERAL SURVEY BULL. 107 ., , , , , , , , ,U ýV,ESTýSML,0.10000,LB,THROUGH 1973ýTHROUGH 1973,U3O8 RECORD INCOMPLETE,USBM - MAS 166, , , , , , , , , , , , , , , , , , , , , , , , , ,0
538,3793,DB00618,X1M,17-BULL MOUNTAIN-7,78 06, ,BLM,DOELLING; HELLMUT H.,BLM, , ,GARFIELD,UT,US,11 HENRY MTNS. BASIN,14 COLORADO RIVER BASIN BELOW THE GREEN AND SAN JUAN RIVERS AND ABOVE LEE FERRY,49,BULL MOUNTAIN,62500,SALINA,250000,5200 FT,4206210,532605,12, ,032S,011E,24, ,SALT LAKE,HEAD OF COTTONWOOD WASH,UNSURVEYED,HOPE,38-00-17N,110-37-43W,U V,CARNOTITE; TYUYAMUNITE, , , ,U V, , , , , ,S,EAST FLANK; EAST HENRY MOUNTAINS SYNCLINE.,4, , ,B, , , ,HOPE MINING CO., ,REPLACEMENT,LENTICULAR TO TABULAR, ,FT,150,FT, , , , ,4,FT,MEDIUM,N 20 DEG E,5 DEG NW, , , , , ,350,FT, , , , , , ,5 SHORT ADITS AND 1 LARGE ADIT WITH EXTENSIVE WORKINGS,JUR,SANDSTONE AND MUDSTONE, , , , ,CARBON TRASH IN SEDIMENTARY CHANNELS.,STABLE PLATFORM,HENRY MOUNTAINS BASIN, ,GROUND WATER SOLUTIONS,JUR,SALT WASH MEMBER/MORRISON FORMATION, , , , , , , , ,HUNT; C. B.; AND OTHERS; 1953 ; GEOLOGY AND GEOGRAPHY OF THE HENRY MOUNTAINS REGION; UTAH: US GEOL. SURVEY PROF. PAPER 228 .,DOELLING; H. H.; 1967 ; URANIUM DEPOSITS OF GARFIELD COUNTY; UTAH: UTAH GEOL. AND MINERAL SURVEY SPECIAL STUDIES 22 .,DOELLING; H. H.; 1975 ; GEOLOGY AND MINERAL RESOURCES OF GARFIELD COUNTY; UTAH: UTAH GEOL. AND MINERAL SURVEY BULL. 107 ., ,U, , , , , , ,U ýV,ESTýEST,0.90000ý 1.30000,LB ýLB,THROUGH 1973ýTHROUGH 1973,U3O8 ýV2O5,USBM - MAS 172, , , , , , , , , , , , , , , , , ,ORE U ýORE V,SMLýSML, , ,1978ý1978,0.10 PERCENT U3O8 ý0.5 PERCENT V2O5,THIS REVIEW,FAVORABLE GROUND,0
539,2778,DB00151,X1N,19-THE KNOLL-5,77 12, ,BLM,MC CARTHY; BLAIR M.,BLM, ,MINERAL CANYON,GRAND,UT,US,11 GREEN RIVER DESERT,14 GREEN RIVER BASIN BELOW THE WHITE RIVER,49,THE KNOLL,62500, ,0,4160 FT,4265850,591230,12, ,026S,018E, , ,SALT LAKE,2.3 MILES EAST OF MINERAL BOTTOM,IN UNSURVEYED AREA,BLACK JACK MINE,38-32-18N,109-57-12W,U V,URANINITE; MALACHITE; AZURITE, , , ,U,V,CU, , , ,M, ,4, , ,B, , ,CLAYTON STOCK,INTERMOUNTAIN MINERALS CO., ,REPLACEMENT - DISSEMINATED,TABULAR; PINCH AND SWELL,40,FT,50,FT,120,FT,50,FT,3,FT,MEDIUM, , , , , ,40,FT,75,FT,50,YD,50,YD,2500,SQ YD,ACCESS BY 4 ADITS. 2 ARE CAVED.,TRI,SANDSTONE; MUDSTONE, , ,TERT,CALCITE; GYPSUM, ,STABLE PLATFORM, , ,GROUND WATER SOLUTIONS,TRI,CHINLE FM.; MOSS BACK MBR, , , , , , , , , , , , ,B, , , , , , , , , , , , , , ,ORE U,MED, , , ,.10 % U3O8,MCCARTHY; B. M.; 1977, , , , , , , , , , , , , , , , , ,0
540,2925,DC12784,X1N, ,74 06, ,CONSV,CONSERVATION DIVISION FILES,USGS, ,MOAB,GRAND,UT,US, , , , , , ,0, ,0,0,0,UNKNOWN PR,026S,024E,12, ,SL, ,WILSON MESA; BURKHOLDER DRAW,SKEETER, , ,U, , , , , , , , , , ,Y, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,HILPERT'S FILE; USGS, , ,CONSV. DIV. COMP. DATE; 08-31-1970, ,U EST, ,0.01000,TONS,1949,.09 % U OXIDE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
541,2951,DC13011,X1N, ,74 06, ,CONSV,CONSERVATION DIVISION FILES,USGS, ,UINTA,GRAND,UT,US, , , , , , ,0, ,0,0,0,UNKNOWN PR,018S,022E,12, ,SL, , ,BOBBY #1, , ,U, , , , , , , , , , ,Y, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,OWNER: CIRCLE DOT INC.,USAEC PRODUCTION REPORTS, , ,CONSV. DIV. COMP. DATE; 12-23-1970, ,U EST, ,0.05000,TONS,1956,.14 % U OXIDE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
542,2967,DC13042,X1N, ,74 06, ,CONSV,CONSERVATION DIVISION FILES,USGS, ,THOMPSON,GRAND,UT,US, , , , , , ,0, ,0,0,0,UNKNOWN PR,022S,022E,26, ,SL, , ,JUNIPER #1 & #3, , ,U, , , , , , , , , , ,Y, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,HILPERT'S FILE; USGS, , ,CONSV. DIV. COMP. DATE; 11-05-1970, ,U EST, ,0.01000,TONS,1952,.3 % U OXIDE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
543,2987,DC13063,X1N, ,74 06, ,CONSV,CONSERVATION DIVISION FILES,USGS, ,THOMPSON,GRAND,UT,US, , , , , , ,0, ,0,0,0,UNKNOWN PR,023S,021E,03 04 15, ,SL,SW 1/4 SW 1/4 SE 1/4 03., ,TOBY, , ,U, , , , , , , , , , ,Y, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,HILPERT'S FILE; USGS, , ,CONSV. DIV. COMP. DATE; 11-12-1970, ,U EST, ,0.01000,TONS,1956,.3 % OXIDE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
544,3000,DC13077,X1N, ,74 06, ,CONSV,CONSERVATION DIVISION FILES,USGS,ALLOR #1 & #5,THOMPSON,GRAND,UT,US, , , , , , ,0, ,0,0,0,UNKNOWN PR,023S,022E,05 06, ,SL, , ,LITTLE PITTSBURG #3, , ,U, , , , , , , , , , ,Y, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,HILPERT'S FILE; USGS,UG & MS BULL. 79; P. 48, ,CONSV. DIV. COMP. DATE; 11-12-1970, , , , , , , ,U EST, ,0.50000,TONS,1952-1964; 0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
545,3005,DC13082,X1N, ,74 06, ,CONSV,CONSERVATION DIVISION FILES,USGS, ,THOMPSON,GRAND,UT,US, , , , , , ,0, ,0,0,0,UNKNOWN PR,023S,022E,06, ,SL, , ,ALLOR #17, , ,U, , , , , , , , , , ,Y, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,HILPERT'S FILE; USGS, , ,CONSV. DIV. COMP. DATE; 11-12-1970, ,U EST, ,0.50000,TONS,1954,.33 % U OXIDE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
546,3019,DC13096,X1N, ,74 06, ,CONSV,CONSERVATION DIVISION FILES,USGS, ,THOMPSON,GRAND,UT,US, , , , , , ,0, ,0,0,0,UNKNOWN PR,023S,022E,06, ,SL, , ,TELLURIDE #18, , ,U, , , , , , , , , , ,Y, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,HILPERT'S FILE; USGS, , ,CONSV. DIV. COMP. DATE; 11-13-1970, , , , , , , ,U EST, ,1.00000,TONS,1952-1958; 0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
547,3020,DC13097,X1N, ,74 06, ,CONSV,CONSERVATION DIVISION FILES,USGS, , ,GRAND,UT,US, , , , , , ,0, ,0,0,0,UNKNOWN PR,023S,022E,06 12, ,SL, , ,PARCO #23, , ,U, , , , , , , , , , ,Y, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,USBM MIN. YEARBOOK; 1956; VOL 3; P. 1152,USBM MIN. YEARBOOK; 1957; VOL 3; P. 1119,HILPERT'S FILE; USGS, , , , , , , , ,U EST, ,5.00000,TONS,1952-1957; 0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
548,3025,DC13103,X1N, ,74 06, ,CONSV,CONSERVATION DIVISION FILES,USGS, ,THOMPSON,GRAND,UT,US, , , , , , ,0, ,0,0,0,UNKNOWN PR,023S,022E,07, ,SL, , ,LUCKY DAY, , ,U, , , , , , , , , , ,Y, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,HILPERT'S FILE; USGS, , ,CONSV. DIV. COMP. DATE; 11-05-1970, ,U EST, ,0.01000,TONS,1951,1.29 % U OXIDE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
549,3031,DC13109,X1N, ,74 06, ,CONSV,CONSERVATION DIVISION FILES,USGS, ,THOMPSON,GRAND,UT,US, , , , , , ,0, ,0,0,0,UNKNOWN PR,023S,023E,04, ,SL,C N 1/2, ,RED OXIDE #1 & #2, , ,U, , , , , , , , , , ,Y, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,HILPERT'S FILE; USGS, , ,CONSV. DIV. COMP. DATE; 11-05-1970, ,U EST, ,0.01000,TONS,1957,.62 % U OXIDE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
550,3051,DC13136,X1N, ,74 06, ,CONSV,CONSERVATION DIVISION FILES,USGS, ,THOMPSON,GRAND,UT,US, , , , , , ,0, ,0,0,0,UNKNOWN PR,023S,023E,06, ,SL, , ,SKINNY, , ,U, , , , , , , , , , ,Y, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,HILPERT'S FILE; USGS, , ,CONSV. DIV. COMP. DATE; 11-13-1970, , , , , , , ,U EST, ,0.10000,TONS,1952-1956; 0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
551,3056,DC13141,X1N, ,74 06, ,CONSV,CONSERVATION DIVISION FILES,USGS, ,MOAB,GRAND,UT,US, , , , , , ,0, ,0,0,0,UNKNOWN PR,024S,023E,22, ,SL, , ,RED HEAD #4, , ,U, , , , , , , , , , ,Y, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,JUR,SANDSTONE;, , , , , , , , , , , , , , , , , , , ,HILPERT'S FILE; USGS, , ,CONSV. DIV. COMP. DATE; 08-31-1970, ,U EST, ,0.01000,TONS,1949,.5 % U OXIDE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
552,3139,W026923,X1N,19 - POLAR MESA - 17,77 06, ,BLM,MC CARTHY; BLAIR M.,BLM, ,GATEWAY,GRAND,UT,US,11 SALT ANTICLINE REGION,14 COLORADO RIVER BASIN BETWEEN GUNNISON RIVER - GREEN RIVER,49, , ,POLAR MESA,62500,7280 FT,4282650,661040,12,UNKNOWN PR,024S,025E,34, ,SALT LAKE,2.1 MILES SOUTHEAST OF COWHEAD HILL,SECTION SUBDIVISION: NW 1/4 ; NW 1/4 ; NE 1/4 SECTION 34,ELVA M. GROUP,38-40-47N,109-08-55W,U V,CARNOTITE; URANINITE; MONTROSEITE, , , ,U,V, , , , ,L, ,6, ,1940,B, , ,UNION CARBIDE CORP.,UNION CARBIDE CORP., ,DISSEMINATED REPLACEMENT,TABULAR; BLANKET,35,FT,210,FT,1000,FT,1200,FT,6,FT, ,N 45 DEG W,2 DEG NE, , , ,150,FT,3.5,MI, , , , , , ,LENGTH OF WORKINGS IS ESTIMATE BASED ON LITERATURE; PREVIOUS INVESTIGATIONS; DUMP SIZE AND LOCAL MINERS ESTIMATES; WORKINGS CONSIST OF AT LEAST 3 ADITS AND 5 SHAFTS INTERCONNECTED UNDERGROUND. SOME SHAFTS ARE CAVED AND INACCESSABLE.,JUR,SANDSTONE; MUDSTONE, , , , ,PALEOCHANNELS; ROLL ORE BODIES,STABLE PLATFORM, , ,GROUND WATER SOLUTIONS,JUR,MORRISON FORMATION; SALT WASH MEMBER, , , , , , , , ,EICHER; L.J. AND MILLER G.A.; 1956 ; GATEWAY DISTRICT; MESA CO. COLORADO AND GRAND CO.; UTAH FROM; GEOLOGIC INVESTIGATIONS OF RADIOACTIVE DEPOSITS; US AEC TEI 620, , , ,U, , , , , , , , , , , , , , ,U,MED, , ,1977,.10 % U3O8,BLAIR MC CARTHY; 1977, , , , , , , , , , , , , , , , , ,0
553,3140,W026924,X1N,19 - POLAR MESA - 18,77 06, ,BLM,MC CARTHY; BLAIR M.,BLM, ,GATEWAY,GRAND,UT,US,11 SALT ANTICLINE REGION,14 COLORADO RIVER BASIN BETWEEN GUNNISON RIVER - GREEN RIVER,49, , ,POLAR MESA,62500,7280 FT,4282300,661360,12,UNKNOWN PR,024S,025E,34, ,SALT LAKE,4.2 MILES SE OF COWHEAD HILL,SECTION SUBDIVISION: NW 1/4 SE 1/4 NE 1/4 SEC. 34,EFFIE F. MINE,38-40-35N,109-08-42W,U V,CARNOTITE; MONTROSEITE; URANINITE; COFFINITE, , , ,U V, , , , , ,L, ,6, , ,B, , ,UNION CARBIDE CORP.,UNION CARBIDE CORP, ,DISSEMINATED; REPLACEMENT,TABULAR; BLANKET,30,FT,100,FT,1000,FT,350,FT,4,FT,MEDIUM,N 45 DEG W,2 DEG NE, , ,ROLL ORE BODIES,90,FT,2.5,MI, , , , , , ,LENGTH OF WORKINGS IS ESTIMATE BASED ON SURVEILLANCE OF WORKINGS AND EXTRAPOLATION TO UNSURVEYED AND FLOODED WORKINGS; ACCESS IS BY ADIT AND SEVERAL INCLINED SHAFTS.,JUR,SANDSTONE; MUDSTONE, , , , ,PALEO CHANNELS; ROLL ORE BODIES,STABLE PLATFORM, , ,GROUND WATER SOLUTIONS,JUR,MORRISON FORMATION; SALT WASH MEMBER, , , , , , , , ,EICHER; L.J.; AND MILLER; G.A.; 1956 ; GATEWAY DISTRICT; MESA CO. COLORADO AND GRAND CO. UTAH; FROM GEOLOGIC INVESTIGATIONS OF RADIOACTIVE DEPOSITS US AEC TEI 620, , , ,U,U ACC ýV ACC,ý,0.39800ý 2.03400,LB ýLB,1965ý1965,U3O8 ýV2O5,U ACC, ,179.109,LB,TO 1973,U3O8, , ,U,MED, , ,1977,.10 % U3O8,BLAIR MC CARTHY; 1977, , , , , , , , , , , , , , , , , ,0
554,3165,W026949,X1N,19 - POLAR MESA - 43,77 07, ,BLM,MC CARTHY; BLAIR M.,BLM, ,GATEWAY DISTRICT,GRAND,UT,US,11 SALT ANTICLINE REGION,14 COLORADO R. BASIN BETWEEN GUNNISON AND GREEN RIVERS,49, , ,POLAR MESA,62500,7500 FT,4282020,662120,12,UNKNOWN PR,024S,025E,35, ,SALT LAKE,2.4 MILES SOUTHEAST OF COWHEAD HILL,SECTION SUBDIVISION: SW 1/4 SE 1/4 ; NW 1/4 ; SEC 35,UNKNOWN,38-40-26N,109-08-11W,U V,CARNOTITE, , , , , , , , , ,M, ,6, , ,B, , , , , ,DISSEMINATED; REPLACEMENT,TABULAR; BLANKET, , , , , , , , , , ,LARGE, , , , ,DEPOSIT SIZE IS ESTIMATE FROM SIZE OF DUMP. DEPOSIT WAS NOT EXAMINED, , , , , , , , , , ,ACCESS IS BY VERTICLE SHAFT WHICH IS OPEN. WORKINGS WERE NOT VISITED,JUR,SANDSTONE; MUDSTONE, , , , , ,STABLE PLATFORM, , ,GROUND WATER SOLUTIONS,JUR,MORRISON FORMATION; SALT WASH MEMBER, , , , , , , , ,EICHER; L.J. AND MILLER; G.A.; 1956 ; GATEWAY DISTRICT; MESA CO. COLORADO AND GRAND CO. UTAH; IN GEOLOGIC INVESTIGATIONS OF RADIOACTIVE DEPOSITS; US AEC TEI 620, , , ,U, , , , , , , , , , , , , , , , , , , , ,MC CARTHY; B.M.; 1977,RESOURCE INFORMATION UNKNOWN DUE TO INACCESSIBILITY, , , , , , , , , , , , , , , , ,0
555,3203,W027226,X1N,19 - CISCO - 12,77 08, ,BLM,MC CARTHY; BLAIR M.,BLM, ,THOMPSON DISTRICT,GRAND,UT,US,11 SALT ANTICLINE,14 COLORADO RIVER BASIN BETWEEN GUNNISON RIVER - GREEN RIVER,49, , ,CISCO,62500,4880 FT,4301120,632010,12,UNKNOWN PR,022S,022E,34, ,SALT LAKE,1.4 MILE NW OF YELLOW CAT RESERVOIR,SECTION SUBDIVISION: NW 1/4 SW 1/4 NW 1/4 OF SEC. 34,MINERAL TREASURE,38-51-03N,109-28-44W,U V,CARNOTITE; TYUYAMUNITE; CORVUSITE; PASCOEITE METAROSSITE, , , ,U, , ,V, , ,M, ,6, , ,B, , ,ATLAS MINERALS,AMAX URANIUM CO., ,REPLACEMENT; DISSEMINATED,TABULAR,20,FT,35,FT,150,FT,100,FT,3,FT,SMALL,N 45 DEG W,4 DEG NE, , , ,30,FT,800,FT,500,YD,350,YD,375000,SQ YD,WORKINGS CONSIST OF TWO ADITS; AND NUMEROUS PROSPECT PITS,JUR,SANDSTONE; MUDSTONE; PEBBLE CONGLOMERATE., , ,LCRET, , ,STABLE PLATFORM, , ,GROUND WATER SOLUTIONS,JUR,SALT WASH MBR OF MORRISON FM, , , , , , , , , , , , ,B, , , , , , , , , , , , , , ,ORE U,SML, , ,1977,.12 % U3O8,MC CARTHY; B. M.; 1977, , , , , , , , , , , , , , , , , ,0
556,3214,W027237,X1N,19 - CASTLE VALLEY - 7,77 07, ,BLM,MC CARTHY; BLAIR M.,BLM, ,WILSON MESA,GRAND,UT,US,11 LA SAL MOUNTAINS,14 COLORADO RIVER BASIN BETWEEN GUNNISON RIVER - GREEN RIVER,41, , ,CASTLE VALLEY,62500,8000 FT,4268170,646440,12,UNKNOWN PR,026S,024E,07, ,SALT LAKE,1.3 MILES SOUTHWEST OF BATTLEGROUND MONUMENT, ,UNKNOWN,38-33-06N,109-19-10W,U V,CARNOTITE; TYUYRMUNITE, , , ,U,V, , , , ,S, ,4, , ,B, , ,WILLIAM F. CORDING,G AND D EXPLORATION, ,DISSEMINATED REPLACEMENT,TABULAR BLANKET,15,FT,25,FT,50,FT,30,FT,3,FT,SMALL,N 20 DEG E,2 DEG W, , , ,20,FT,100,FT, , , , , , ,ACCESS BY ADIT,JUR,SANDSTONE; MUDSTONE, , , , , ,STABLE PLATFORM, , ,GROUND WATER SOLUTIONS,JUR,MORRISON FORMATION; SALT WASH MEMBER, , , , , , , , , , , , ,U, , , , , , , , , , , , , , ,ORE U,SML, , , ,.10 % U3O8,MC CARTHY; BLAIR 1977, , , , , , , , , , , , , , , , , ,0
557,3239,W027262,X1N,19 - THOMPSON - 21,77 08, ,BLM,MC CARTHY; BLAIR M.,BLM, ,THOMPSONS - YELLOW CAT DISTRICT,GRAND,UT,US,11 SALT ANTICLINE REGION,14 COLORADO RIVER BASIN BETWEEN GUNNISON RIVER - GREEN RIVER,49, , ,THOMPSON,62500,4640 FT,4300430,627820,12,UNKNOWN PR,022S,022E,31, ,SALT LAKE,2.6 MILES NORTHEAST OF MOLLIE HOGANS,SECTION SUBDIVISION: SW 1/4 NE 1/4 SW 1/4 OF SEC 31,UNKNOWN,38-50-43N,109-31-38W,U V,CARNOTITE; TYUYAMUNITE; PASCOITE; URANINITE, , , ,U,V, , , , ,N, ,4, , ,B, , , , , ,REPLACEMENT; DISSEMINATED,TABULAR, , , , , , , , , , ,MEDIUM, , , , ,DEPOSIT INFORMATION UNAVAILABLE DUE TO INACCESSIBILITY, , , , , , , , , , ,ACCESS BY 150 FOOT INCLINE. WORKINGS INACCESSIBLE DUE TO FLOODING AT TIME OF VISIT,JUR,SANDSTONE; SILTSTONE, , , , , ,STABLE PLATFORM,SALT VALLEY ANTICLINE, ,GROUND WATER SOLUTIONS,JUR,SALT WASH MBR. OF MORRISON FM., , , , , , , , ,STOKES; W. L.; 1952 ; URANIUM - VANADIUM DEPOSITS OF THE THOMPSONS AREA GRAND COUNTY; UTAH: UTAH GEOLOGICAL AND MINERAL SURVEY BULL. 46 ; 51 P., , , ,U, , , , , , , , , , , , , , , , , , , , ,MC CARTHY; B. M.; 1977,RESERVES UNKNOWN DUE TO INACCESSIBILITY, , , , , , , , , , , , , , , , ,0
